Czas;Zmienna
0;1.994711402
0.1;1.944226792
0.2;1.877011179
0.3;1.794828596
0.4;1.699753916
0.5;1.594139594
0.6;1.48057815
0.7;1.361860903
0.8;1.240933529
0.9;1.120849053
1;1.004718905
1.1;0.895662737
1.2;0.796757671
1.3;0.710987701
1.4;0.641193932
1.5;0.590026371
1.6;0.559897936
1.7;0.552941348
1.8;0.570969521
1.9;0.615440024
2;0.68742416
2.1;0.787581114
2.2;0.916137595
2.3;1.072873306
2.4;1.257112514
2.5;1.467721903
2.6;1.703114832
2.7;1.961262011
2.8;2.239708556
2.9;2.535597273
3;2.845697958
3.1;3.166442404
3.2;3.49396475
3.3;3.824146711
3.4;4.15266718
3.5;4.475055612
3.6;4.786748565
3.7;5.083148706
3.8;5.359685566
3.9;5.611877282
4;5.835392549
4.1;6.026112
4.2;6.18018821
4.3;6.294103538
4.4;6.364725045
4.5;6.389355718
4.6;6.365781325
4.7;6.292312199
4.8;6.167819356
4.9;5.991764393
5;5.764222674
5.1;5.485899401
5.2;5.158138238
5.3;4.782922244
5.4;4.362866971
5.5;3.90120565
5.6;3.40176652
5.7;2.868942416
5.8;2.307652841
5.9;1.723298861
6;1.121711199
6.1;0.509092064
6.2;-0.108048736
6.3;-0.722962721
6.4;-1.328735984
6.5;-1.918365965
6.6;-2.48484091
6.7;-3.021221123
6.8;-3.520721094
6.9;-3.976791542
7;-4.383200431
7.1;-4.734111973
7.2;-5.024162672
7.3;-5.248533474
7.4;-5.403017109
7.5;-5.484079769
7.6;-5.488916302
7.7;-5.415498173
7.8;-5.26261352
7.9;-5.029898704
8;-4.717860831
8.1;-4.327890857
8.2;-3.862266945
8.3;-3.324147864
8.4;-2.71755636
8.5;-2.047352486
8.6;-1.319197039
8.7;-0.539505349
8.8;0.284608225
8.9;1.145394628
9;2.034542684
9.1;2.943259246
9.2;3.862356149
9.3;4.782343094
9.4;5.693525546
9.5;6.58610661
9.6;7.450291848
9.7;8.276395887
9.8;9.054949696
9.9;9.776807334
10;10.43325099
10.1;11.01609313
10.2;11.51777457
10.3;11.93145737
10.4;12.25111135
10.5;12.47159333
10.6;12.58871801
10.7;12.59931953
10.8;12.50130311
10.9;12.29368582
11;11.976626
11.1;11.55144084
11.2;11.02061173
11.3;10.38777705
11.4;9.657712555
11.5;8.83629903
11.6;7.930477714
11.7;6.948193572
11.8;5.898326962
11.9;4.790614243
12;3.635558021
12.1;2.444327858
12.2;1.228652382
12.3;0.000703833
12.4;-1.227023815
12.5;-2.441841933
12.6;-3.63099823
12.7;-4.781810308
12.8;-5.88180038
12.9;-6.918829729
13;-7.881231465
13.1;-8.757940136
13.2;-9.538616774
13.3;-10.21376798
13.4;-10.77485768
13.5;-11.21441035
13.6;-11.5261043
13.7;-11.70485422
13.8;-11.7468816
13.9;-11.64977245
14;-11.41252132
14.1;-11.03556108
14.2;-10.52077796
14.3;-9.87151151
14.4;-9.09253923
14.5;-8.190045932
14.6;-7.171577913
14.7;-6.045982251
14.8;-4.823331692
14.9;-3.51483573
15;-2.132738669
15.1;-0.690205572
15.2;0.798802842
15.3;2.319665167
15.4;3.857242841
15.5;5.396030832
15.6;6.920313979
15.7;8.414327411
15.8;9.862419406
15.9;11.24921502
16;12.55977873
16.1;13.77977452
16.2;14.89562142
16.3;15.8946432
16.4;16.76521023
16.5;17.49687215
16.6;18.0804798
16.7;18.50829502
16.8;18.77408699
16.9;18.87321405
17;18.80268991
17.1;18.56123346
17.2;18.14930137
17.3;17.56910309
17.4;16.82459784
17.5;15.92147337
17.6;14.86710669
17.7;13.67050673
17.8;12.34223965
17.9;10.89433713
18;9.340188515
18.1;7.694417831
18.2;5.972746696
18.3;4.191844447
18.4;2.369166919
18.5;0.522785407
18.6;-1.328792491
18.7;-3.166808391
18.8;-4.972443124
18.9;-6.727009311
19;-8.412144542
19.1;-10.01000315
19.2;-11.50344458
19.3;-12.87621643
19.4;-14.11313011
19.5;-15.20022729
19.6;-16.12493539
19.7;-16.87621027
19.8;-17.44466464
19.9;-17.82268059
20;-18.00450513
20.1;-17.98632737
20.2;-17.76633657
20.3;-17.34476008
20.4;-16.72388083
20.5;-15.90803372
20.6;-14.90358104
20.7;-13.71886675
20.8;-12.36415002
20.9;-10.85151851
21;-9.194782025
